ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,AI Definition,,1
2,ML Definition,1,1
3,History Of AI,,1
4,Nobel Prizes,3,1
5,Key Figures,3,1
6,AI Branches,1,1
7,Symbolic AI,6,1
8,Data-Driven AI,6,1
9,NN Origins,3|8,1
10,Biological Inspiration,,1
11,Python Setup,,3
12,Conda Environment,11,3
13,Jupyter Notebooks,11,3
14,NumPy Basics,11,3
15,Pandas Basics,11,3
16,Matplotlib Basics,11,3
17,SciPy Basics,11,3
18,Scikit-Learn Overview,14|15|16|17,3
19,PyTorch Intro,11|14,3
20,TensorFlow Intro,11|14,3
21,Supervised Vs Unsupervised,2,2
22,Regression Vs Classification,21,2
23,Overfitting Vs Underfitting,22,2
24,Training-Validation-Test,23,5
25,Bias-Variance Tradeoff,23,2
26,Regularization Overview,25,5
27,Cross-Validation,24,5
28,Evaluation Metrics,22,11
29,Loss Functions,23,5
30,Gradient Descent,29,5
31,Data Preprocessing,2,4
32,Scaling And Normalization,31,4
33,Data Augmentation,31,4
34,Feature Engineering,31,4
35,Dimensionality Concepts,34,2
36,Data Splits,24,4
37,Data Visualization,15|16,4
38,Data Cleaning,31,4
39,Data Imbalance,38,2
40,Data Ethics,39,4
41,Perceptron Model,9,6
42,Multi-Layer Perceptron,41,6
43,Activation Functions,42,5
44,Forward Propagation,43,5
45,Backpropagation,44,5
46,Weights And Biases,41,5
47,Batch Training,45,5
48,Mini-Batch Training,47,5
49,Stochastic Training,48,5
50,Learning Rate,30,5
51,Loss Surface,29,2
52,Local Minima,51,2
53,Vanishing Gradients,45,5
54,Exploding Gradients,53,5
55,Initialization Methods,42,6
56,He Initialization,55,6
57,Xavier Initialization,55,6
58,Momentum Optimizer,30,5
59,AdaGrad,30,5
60,Adam Optimizer,58|59,5
61,Convolution Operation,9,6
62,Filters And Kernels,61,2
63,Pooling Layers,61,6
64,Stride And Padding,61,6
65,Fully Connected Layers,42,6
66,Batch Normalization,47,6
67,CNN Architectures,62|63,6
68,ImageNet,67,6
69,Transfer Learning Basics,67,6
70,Object Detection,69,6
71,Sequence Modeling,42,6
72,Vanilla RNN,71,6
73,LSTM Units,72,6
74,GRU Units,72,6
75,Backprop Through Time (BPTT),45|72,6
76,Exploding Gradient Control,54,5
77,Language Modeling,71,7
78,Text Generation,77,7
79,Time-Series Forecasting,72,6
80,Attention Mechanism,71,6
81,Deep Architecture,42,6
82,Layer Stacking,81,6
83,Depth Vs Width,82,6
84,Residual Networks (ResNet),83,6
85,Inception Modules,83,6
86,DenseNet,84,6
87,Skip Connections,84,6
88,Dropout,26,6
89,BatchNorm,66,6
90,Weight Decay,26,5
91,Capsule Networks,67,6
92,Graph Neural Networks (GNNs),9,6
93,Transformers Intro,80,6
94,Vision Transformers (ViT),93|61,6
95,Self-Attention,93,6
96,Positional Encoding,93,6
97,BERT Overview,93,6
98,GPT Overview,93,6
99,Sequence-To-Sequence,72|93,6
100,Neural Machine Translation,99,2
101,Generative Models,42,6
102,Autoencoders (AE),101,6
103,Variational Autoencoders (VAE),102,6
104,GAN Basics,101,6
105,Generator Vs Discriminator,104,6
106,Latent Space,103|104,6
107,Conditional GAN,104,6
108,CycleGAN,104,6
109,Style Transfer,104,6
110,Text-To-Image,104,6
111,Diffusion Models,101,6
112,Denoising Diffusion,111,6
113,Score Matching,111,6
114,Likelihood Estimation,101,6
115,Energy-Based Models,101,6
116,Flow-Based Models,101,6
117,Prompt Engineering,98,7
118,Text Generation Models,93,2
119,Large Language Models (LLMs),93,7
120,ChatGPT Concept,119,7
121,PCA,35,4
122,t-SNE,35,4
123,UMAP,35,4
124,Autoencoder DR,102,4
125,Manifold Hypothesis,35,4
126,Feature Space,34,4
127,Principal Components,121,4
128,Nonlinear Embeddings,122,4
129,High-Dimensional Data,121,4
130,Data Visualization Tools,37,4
131,RL Definition,1,2
132,Markov Decision Process (MDP),131,7
133,Value Functions,132,7
134,Policy Gradient,133,7
135,Q-Learning,132,7
136,Deep Q-Network (DQN),135,7
137,Actor-Critic,134,7
138,Reward Shaping,133,7
139,Exploration Vs Exploitation,131,2
140,Baseline Algorithms,137,7
141,Model Interpretability,28,9
142,Explainable AI (XAI),141,9
143,SHAP,142,9
144,LIME,142,9
145,Fairness,142,9
146,Bias Mitigation,145,9
147,Privacy,40,9
148,Security,147,9
149,Adversarial Examples,148,9
150,Responsible AI,145|149,9
151,GPU Acceleration,81,7
152,TPU Acceleration,151,7
153,Memory Management,151,7
154,Model Compression,153,7
155,Quantization,154,7
156,Pruning,154,7
157,Edge Deployment,154,7
158,Cloud Services,154,7
159,AutoML,18,7
160,MLOps,159,10
161,Hyperparameter Tuning,160,5
162,Grid Search,161,5
163,Random Search,161,5
164,Bayesian Optimization,161,5
165,Early Stopping,26,5
166,Learning Rate Scheduling,50,5
167,Data Parallelism,151,7
168,Model Parallelism,151,7
169,Checkpointing,24,7
170,Version Control,196,10
171,Accuracy,28,11
172,Precision,28,11
173,Recall,28,11
174,F1 Score,28,11
175,AUC-ROC,28,11
176,Confusion Matrix,28,11
177,Top-1 Vs Top-5 Accuracy,28,11
178,BLEU Score,78,11
179,Perplexity,77,11
180,Mean Squared Error (MSE),28,11
181,Computer Vision,67,8
182,Natural Language Processing (NLP),71,8
183,Speech Recognition,71,8
184,Medical Imaging,67,8
185,Drug Discovery,2,8
186,Protein Folding,185,8
187,Autonomous Driving,181,8
188,Robotics,2,8
189,Financial Forecasting,79,8
190,Recommender Systems,2,8
191,Project Scoping,,10
192,Requirement Analysis,191,10
193,Data Acquisition,192,4
194,Data Annotation,193,4
195,Resource Allocation,192,10
196,Team Collaboration,195,10
197,Version Control Workflow,170,10
198,Agile Methods,196,10
199,Code Review,170,10
200,Documentation,199,10